
8;6;12;
23;5;15;
14;5;16;
1;5;18;
24;6;24;
29;6;31;
31;6;13;
25;5;15;
10;4;17;
5;5;18;
27;5;11;
11;4;29;
16;4;13;
20;3;28;
22;3;19;
25;2;12;
14;2;35;
26;1;14;
0;2;10;
28;2;35;
21;1;31;
6;1;10;
9;2;19;
15;1;33;
19;2;9;
30;4;11;
2;4;22;
9;4;21;
15;3;26;
3;2;31;
19;1;15;
7;2;12;
4;2;34;
27;2;34;
13;1;29;
18;2;15;
5;1;15;
27;2;6;
17;1;22;
22;4;10;
3;3;15;
26;2;22;
11;2;23;
12;1;9;
26;4;6;
24;3;21;
13;4;27;
1;3;27;
3;5;19;
9;4;24;
28;3;33;
16;2;28;
25;1;28;
13;3;25;
29;2;32;
25;4;23;
27;3;17;
31;2;24;
8;2;32;
14;3;9;
30;2;11;
18;1;11;
0;2;18;
23;3;10;
9;3;32;
12;4;35;
10;3;25;
14;4;27;
15;3;32;
20;3;11;
31;2;22;
21;3;29;
10;5;8;
5;5;24;
27;4;23;
22;3;17;
4;2;22;
8;3;25;
2;2;11;
9;4;10;
19;3;24;
7;3;18;
23;4;6;
14;4;5;
1;3;8;
21;2;30;
18;1;25;
6;2;35;
21;3;34;
25;3;25;
3;3;33;
29;2;15;
6;3;27;
17;3;22;
30;4;33;
25;4;21;
4;3;21;
15;3;25;
12;3;11;
22;3;26;
20;4;33;
13;4;32;
4;4;34;
25;3;33;
24;2;20;
3;2;32;
11;1;30;
26;3;20;
17;3;25;
24;2;29;
16;1;26;
19;2;8;
18;3;10;
2;2;28;
14;2;23;
28;1;24;
13;3;9;
15;2;25;
0;2;27;
31;3;7;
18;4;15;
1;3;20;
22;3;24;
9;2;34;
27;2;21;
0;3;35;
8;2;24;
4;4;6;
11;3;33;
15;3;16;
10;2;20;
30;1;35;
30;2;9;
26;1;27;
7;2;20;
23;2;27;
29;3;7;
5;2;17;
20;2;22;
17;2;24;
1;3;17;
21;2;9;
29;3;19;
31;2;30;
3;1;20;
12;1;14;
24;3;9;
16;3;10;
27;5;5;
18;4;13;
4;3;34;
2;2;23;
