
24;1;21;
29;1;17;
12;1;9;
26;1;7;
14;1;13;
19;1;26;
23;1;11;
18;1;5;
22;1;28;
18;2;11;
11;1;25;
30;1;9;
31;1;17;
13;1;13;
7;1;14;
15;1;27;
10;1;9;
24;1;19;
9;1;34;
11;1;26;
2;1;23;
9;1;15;
5;1;16;
26;1;17;
29;1;15;
18;1;24;
28;1;14;
6;1;22;
1;1;30;
8;1;35;
12;2;7;
1;2;10;
15;1;23;
0;1;28;
20;1;24;
17;1;15;
27;1;30;
19;1;28;
2;1;23;
25;1;19;
4;1;34;
26;1;15;
9;1;6;
23;1;18;
2;1;35;
16;1;30;
21;1;21;
15;1;17;
30;1;20;
3;1;29;
0;1;11;
2;2;27;
0;2;9;
17;1;20;
28;1;15;
30;2;13;
15;1;19;
9;1;30;
18;2;11;
6;2;9;
15;3;20;
17;3;7;
9;3;23;
28;2;26;
3;1;33;
21;1;30;
28;1;18;
12;1;8;
25;1;16;
15;1;27;
13;1;30;
10;1;31;
8;1;12;
5;1;18;
14;1;15;
13;1;11;
21;1;27;
11;1;33;
7;1;26;
30;1;34;
20;1;30;
6;1;19;
20;1;29;
2;1;25;
31;1;22;
23;1;12;
22;1;32;
13;1;9;
24;1;10;
18;1;11;
8;1;22;
19;1;23;
1;1;6;
9;1;29;
10;1;33;
7;1;8;
29;1;25;
17;1;5;
10;1;17;
7;1;33;
28;1;18;
0;1;12;
4;1;21;
13;1;8;
11;1;23;
8;2;25;
11;2;31;
30;1;22;
26;1;18;
14;1;21;
20;1;11;
4;1;21;
27;1;18;
18;1;19;
12;1;16;
21;1;11;
15;1;32;
4;1;31;
29;1;13;
16;1;7;
25;1;27;
0;1;32;
6;1;22;
28;1;19;
3;1;26;
6;1;26;
19;1;10;
24;1;10;
23;1;9;
26;1;17;
5;1;18;
8;1;24;
23;1;11;
30;1;29;
13;1;24;
14;1;13;
12;1;25;
10;1;27;
14;2;30;
12;1;34;
25;1;9;
2;1;24;
7;1;23;
20;1;13;
1;1;9;
17;1;28;
