1;21.99;
2;
3;
4;
5;
6;
7;
8;
9;
10;13.62;
11;13.60;
12;14.00;
13;13.88;
14;14.03;
15;14.27;
16;14.67;
17;14.40;
18;15.00;
19;14.82;
20;15.59;
21;16.13;
22;15.53;
23;16.60;
24;16.85;
25;17.13;
26;18.01;
27;
28;
29;
30;
31;
32;
33;
34;
35;
36;
37;
38;
39;
40;
41;
42;
43;
44;
45;
46;
47;
48;
49;
50;
51;
52;
53;
54;
55;
56;
57;
58;
59;
60;
61;
62;
63;
64;
65;
66;
67;
68;
69;
70;
71;
72;
73;
74;
75;
76;
77;
78;
79;
80;
